rspo,school_name,year,kept_miejscowosc,kept_ulica_nr,declined_miejscowosc,declined_ulica_nr,dropped_words
90566,SZKOŁA PODSTAWOWA NR 2 IM. JANA KOCHANOWSKIEGO,2026,Maków Mazowiecki,ul. Generała Pułaskiego 15,Maków Mazowiecki,Pułaskiego 15,ul generała
90919,SZKOŁA PODSTAWOWA NR 3 IM. JANUSZA KUSOCIŃSKIEGO W LEGIONOWIE,2026,Legionowo,ul. Władysława Broniewskiego 7,Legionowo,Broniewskiego 7,ul władysława
91247,SZKOŁA PODSTAWOWA NR 4 IM. LEGIONÓW POLSKICH 1914-1918 W LEGIONOWIE,2026,Legionowo,ul. Jana Pawła I 2,Legionowo,Jana Pawła I 2,ul
91896,SZKOŁA PODSTAWOWA W ZESPOLE SZKÓŁ IM. KARDYNAŁA STEFANA WYSZYŃSKIEGO W LELISIE,2026,Lelis,ul. Szkolna 51 A,Lelis,Szkolna 51 A,ul
91955,PUBLICZNA SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W BELSKU DUŻYM,2026,Belsk Duży,ul. Szkolna 3,Belsk Duży,Szkolna 3,ul
92273,SZKOŁA PODSTAWOWA IM. GEN. STANISŁAWA GRZMOTA-SKOTNICKIEGO W MŁODZIESZYNIE,2026,Młodzieszyn,ul. Wspólna 13A,Młodzieszyn,Wspólna 13A,ul
92305,PUBLICZNA SZKOŁA PODSTAWOWA NR 1 IM. STEFANA ŻEROMSKIEGO W PIONKACH,2026,Pionki,ul. Niepodległości 3,Pionki,Niepodległości 3,ul
92306,PUBLICZNA SZKOŁA PODSTAWOWA NR 2 IM. BOLESŁAWA PRUSA W PIONKACH,2026,Pionki,ul. Jana Kochanowskiego 12,Pionki,Kochanowskiego 12,ul jana
92307,PUBLICZNA SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI I SPORTOWYMI NR 5 IM. JANA PAWŁA II W PIONKACH,2026,Pionki,ul. Targowa 9,Pionki,Targowa 9,ul
92385,SZKOŁA PODSTAWOWA NR 107 IM. BRONISŁAWA MALINOWSKIEGO,2026,Warszawa,ul. Nowoursynowska 210/212,Warszawa,Nowoursynowska 210/212,ul
92416,PUBLICZNA SZKOŁA PODSTAWOWA IM. PROF. IGNACEGO MOŚCICKIEGO W WINNICY,2026,Winnica,ul. Pułtuska 19,Winnica,Pułtuska 19,ul
92452,SZKOŁA PODSTAWOWA NR 1,2026,Konstancin-Jeziorna,ul. Wojewódzka 12,Konstancin-Jeziorna,Wojewódzka 12,ul
92493,PUBLICZNA SZKOŁA PODSTAWOWA IM.JANA PAWŁA II W GRABOWCU,2026,Grabowiec,ul. Wąchocka 20,Grabowiec,Wąchocka 20,ul
92508,SZKOŁA PODSTAWOWA IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO W DROBINIE,2026,Drobin,ul. Szkolna 3,Drobin,Szkolna 3,ul
92770,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI IM. BOHATERSKICH LOTNIKÓW POLSKICH W WIĄZOWNIE,2026,Wiązowna,ul. Kościelna 20,Wiązowna,Kościelna 20,ul
93048,NIEPUBLICZNA SZKOŁA PODSTAWOWA IM. JANA PAWŁA II,2026,Legionowo,ul. marsz. Józefa Piłsudskiego 47,Legionowo,Piłsudskiego 47,ul marsz józefa
93122,SZKOŁA PODSTAWOWA IM.BOHATERÓW WARSZAWY,2026,Podkowa Leśna,ul. Jana Pawła II 20,Podkowa Leśna,Jana Pawła II 20,ul
103362,NO BELL SZKOŁA PODSTAWOWA MONTESSORI,2026,Konstancin-Jeziorna,ul. Mirkowska 39 B,Konstancin-Jeziorna,Mirkowska 39 B,ul
103371,SZKOŁA PODSTAWOWA NR 4,2026,Słomczyn,ul. Wilanowska 218,Słomczyn,Wilanowska 218,ul
103378,PUBLICZNA SZKOŁA PODSTAWOWA IM. JANA KOCHANOWSKIEGO W POLICZNIE,2026,Policzna,ul. Stefana Żeromskiego 44,Policzna,Żeromskiego 44,ul stefana
103425,SPOŁECZNA SZKOŁA PODSTAWOWA NR 96 IM.ŚWIĘTEJ RODZINY,2026,Otwock,ul. Hugona Kołłątaja 80/82,Otwock,Kołłątaja 80/82,ul hugona
103430,ZESPÓŁ OŚWIATOWY W WIŚNIEWIE SZKOŁA PODSTAWOWA IM. BOLESŁAWA CHROBREGO W WIŚNIEWIE,2026,Wiśniew,ul. Tadeusza Kościuszki 54,Wiśniew,Kościuszki 54,ul tadeusza
103611,SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W JAKUBOWIE,2026,Jakubów,ul. Szkolna 10,Jakubów,Szkolna 10,ul
103625,SZKOŁA PODSTAWOWA IM. 11 LISTOPADA W ŻÓŁWINIE,2026,Żółwin,ul. Szkolna 39,Żółwin,Szkolna 39,ul
103627,SZKOŁA PODSTAWOWA IM. WŁODZIMIERZA PUCHALSKIEGO W OTRĘBUSACH,2026,Otrębusy,ul. dr. Mariana Piaseckiego 2,Otrębusy,Piaseckiego 2,ul dr mariana
103714,PUBLICZNA SZKOŁA PODSTAWOWA IM. BITWY WARSZAWSKIEJ 1920 ROKU,2026,Józefów,ul. Kościelna 2,Józefów,Kościelna 2,ul
103742,SZKOŁA PODSTAWOWA W NOWEJ IWICZNEJ,2026,Nowa Iwiczna,ul. Ignacego Krasickiego 56,Nowa Iwiczna,Krasickiego 56,ul ignacego
103820,SZKOŁA PODSTAWOWA NR 174,2026,Warszawa,ul. Barska 4,Warszawa,Barska 4,ul
103940,SZKOŁA PODSTAWOWA NR 254 IM. GEN FRANCISZKA ŻYMIRSKIEGO W ZESPOLE SZKÓŁ NR 74,2026,Warszawa,ul. Niepołomicka 26,Warszawa,Niepołomicka 26,ul
103954,SZKOŁA PODSTAWOWA NR 2 IM. ROMUALDA TRAUGUTTA,2026,Józefów,ul. Graniczna 26,Józefów,Graniczna 26,ul
104125,PUBLICZNA SZKOŁA PODSTAWOWA IM. KAZIMIERZA STEFANOWICZA W MYSZYŃCU,2026,Myszyniec,ul. Dzieci Polskich 1,Myszyniec,Dzieci Polskich 1,ul
104462,SZKOŁA PODSTAWOWA W NADBRZEŻU,2026,Nadbrzeż,ul. Szkolna 4,Nadbrzeż,Szkolna 4,ul
104543,SZKOŁA PODSTAWOWA NR 2 IM. JAROSŁAWA IWASZKIEWICZA W ZESPOLE SZKÓŁ OGÓLNOKSZTAŁCĄCYCH W BRWINOWIE,2026,Brwinów,ul. Żwirowa 16,Brwinów,Żwirowa 16,ul
104622,SZKOŁA PODSTAWOWA IM. ŻOŁNIERZY POLSKICH SPOD MONTE CASSINO W GRABOWIE NAD PILICĄ,2026,Grabów nad Pilicą,ul. Parkowa 4,Grabów nad Pilicą,Parkowa 4,ul
104967,SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W URLACH,2026,Urle,ul. Żwirki i Wigury 4,Urle,Żwirki i Wigury 4,ul
105183,PUBLICZNA SZKOŁA PODSTAWOWA W KORCZEWIE,2026,Korczew,ul. Szkolna 4,Korczew,Szkolna 4,ul
105293,SZKOŁA PODSTAWOWA SPECJALNA NR 39,2026,Warszawa,ul. Trakt Lubelski 40,Warszawa,Trakt Lubelski 40,ul
105299,SZKOŁA PODSTAWOWA SPECJALNA NR 348 W MŁODZIEŻOWYM OŚRODKU SOCJOTERAPII NR 7,2026,Warszawa,ul. Osowska 81,Warszawa,Osowska 81,ul
105302,SZKOŁA PODSTAWOWA SPECJALNA NR 349 W MŁODZIEŻOWYM OŚRODKU SOCJOTERAPII NR 8,2026,Warszawa,ul. Podmokła 4,Warszawa,Podmokła 4,ul
105442,SZKOŁA PODSTAWOWA IM. PIOTRA SĘKOWSKIEGO W NACPOLSKU,2026,Nacpolsk,ul. Szkolna 18,Nacpolsk,Szkolna 18,ul
105466,PUBLICZNA SZKOŁA PODSTAWOWA W ZAJEZIERZU,2026,Zajezierze,ul. 28 Pułku Artylerii Lekkiej 18,Zajezierze,Pułku Artylerii Lekkiej 18,ul 28
105551,SZKOŁA PODSTAWOWA W JADOWIE,2026,Jadów,ul. 11 Listopada 15/17,Jadów,Listopada 15/17,ul 11
106087,SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W MROKOWIE,2026,Mroków,ul. Marii Świątkiewicz 2a,Mroków,Świątkiewicz 2a,ul marii
106219,PUBLICZNA SZKOŁA PODSTAWOWA IM. ADAMA CHĘTNIKA W JEDNOROŻCU,2026,Jednorożec,ul. Odrodzenia 13,Jednorożec,Odrodzenia 13,ul
106238,SPOŁECZNA SZKOŁA PODSTAWOWA SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO IM. KS. JANA TWARDOWSKIEGO W OSTROŁĘCE,2026,Ostrołęka,ul. Koszarowa 3,Ostrołęka,Koszarowa 3,ul
106550,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W ZIELUNIU,2026,Zieluń-Osada,ul. Szkolna 7,Zieluń-Osada,Szkolna 7,ul
106555,SZKOŁA PODSTAWOWA W LUBOWIDZU,2026,Lubowidz,ul. Jana Pawła II 46 a,Lubowidz,Jana Pawła II 46 a,ul
106708,SZKOŁA PODSTAWOWA IM. ADAMA MICKIEWICZA,2026,Kuczbork-Osada,ul. Adama Mickiewicza 6,Kuczbork-Osada,Mickiewicza 6,ul adama
106712,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II,2026,Zielona,ul. Szkolna 2,Zielona,Szkolna 2,ul
106900,SZKOŁA PODSTAWOWA IM. WINCENTEGO WITOSA W GLINIANCE,2026,Glinianka,ul. Napoleońska 1,Glinianka,Napoleońska 1,ul
107323,SZKOŁA PODSTAWOWA IM KARDYNAŁA STEFANA WYSZYŃSKIEGO W SZULBORZU WIELKIM,2026,Szulborze Wielkie,ul. Szarych Szeregów 1,Szulborze Wielkie,Szarych Szeregów 1,ul
107387,SZKOŁA PODSTAWOWA W LESZNOWOLI,2026,Lesznowola,ul. Szkolna 6,Lesznowola,Szkolna 6,ul
107594,SZKOŁA PODSTAWOWA IM . JANA PAWŁA II W BARANOWIE,2026,Baranowo,ul. Niepodległości 27,Baranowo,Niepodległości 27,ul
107672,SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W PAPROTNI,2026,Paprotnia,ul. Jana Pawła II 5,Paprotnia,Jana Pawła II 5,ul
107687,SZKOŁA PODSTAWOWA,2026,Hołubla,ul. Unitów Podlaskich 35,Hołubla,Unitów Podlaskich 35,ul
109089,SZKOŁA PODSTAWOWA IM. WINCENTEGO HIPOLITA GAWARECKIEGO W MAŁEJ WSI,2026,Mała Wieś,ul. Jana Kochanowskiego 1 7,Mała Wieś,Kochanowskiego 1 7,ul jana
109376,SZKOŁA PODSTAWOWA IM. WŁADYSŁAWA JAGIEŁŁY W CZERWIŃSKU NAD WISŁĄ,2026,Czerwińsk nad Wisłą,ul. Warszawska 1,Czerwińsk nad Wisłą,Warszawska 1,ul
109555,SZKOŁA PODSTAWOWA MAGNUSZEW,2026,Magnuszew,ul. Bohaterów Września 10,Magnuszew,Bohaterów Września 10,ul
109927,SZKOŁA PODSTAWOWA IM. HENRYKA SIENKIEWICZA W STANISŁAWOWIE,2026,Stanisławów,ul. Szkolna 4,Stanisławów,Szkolna 4,ul
109928,SZKOŁA PODSTAWOWA IM. K.K. BACZYŃSKIEGO W ŁADZYNIU,2026,Ładzyń,ul. Szkolna 4,Ładzyń,Szkolna 4,ul
110104,BRYTYJSKA SZKOŁA PODSTAWOWA THE BRITISH SCHOOL NR 91 W WARSZAWIE,2026,Warszawa,ul. Bolesława Limanowskiego 15,Warszawa,Limanowskiego 15,ul bolesława
110219,SZKOŁA PODSTAWOWA IM. KS. W. LEWANDOWSKIEGO,2026,Seroczyn,ul. Siedlecka 11,Seroczyn,Siedlecka 11,ul
110227,SZKOŁA PODSTAWOWA IM. ARMII KRAJOWEJ W PUSTELNIKU,2026,Pustelnik,ul. Szkolna 16,Pustelnik,Szkolna 16,ul
110248,"SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 112 IM. MARII KOWNACKIEJ W WARSZAWIE, UL. ZAUŁEK 34 SZKOLE JEST PODPORZĄDKOWANA ORGANIZACYJNIE SZKOŁA FILIALNA W WARSZAWIE, UL. OSTRÓDZKA 144",2026,Warszawa,ul. Zaułek 34,Warszawa,Zaułek 34,ul
110249,SZKOŁA PODSTAWOWA NR 118 IM.PRZYJACIÓŁ MAZOWSZA,2026,Warszawa,ul. Myśliborska 25,Warszawa,Myśliborska 25,ul
110250,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 154 IM. EDMUNDA STRZELECKIEGO,2026,Warszawa,ul. Leśnej Polanki 63/65,Warszawa,Leśnej Polanki 63/65,ul
110251,SZKOŁA PODSTAWOWA NR 231 IM. GEN. MARIUSZA ZARUSKIEGO,2026,Warszawa,ul. Juranda ze Spychowa 10,Warszawa,Juranda ze Spychowa 10,ul
110254,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 342 IM.JANA MARCINA SZANCERA,2026,Warszawa,ul. Strumykowa 21A,Warszawa,Strumykowa 21A,ul
110270,SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ,2026,Brzóze,ul. Szkolna 20,Brzóze,Szkolna 20,ul
110271,SZKOŁA PODSTAWOWA IM. KS. A.TYSZKI W JANOWIE,2026,Janów,ul. Strażacka 18,Janów,Strażacka 18,ul
110272,SZKOŁA PODSTAWOWA IM.GEN. JÓZEFA HALLERA W MARIANCE,2026,Marianka,ul. Wspólna 70,Marianka,Wspólna 70,ul
110489,"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""SAPERE AUDE""",2026,Rajszew,ul. Modlińska 75,Rajszew,Modlińska 75,ul
111054,PUBLICZNA SZKOŁA PODSTAWOWA IM.STANISŁAWA STASZICA W WĄSEWIE,2026,Wąsewo,ul. Szkolna 1,Wąsewo,Szkolna 1,ul
111073,SZKOŁA PODSTAWOWA IM. MICHALINY CZECHOWSKIEJ W RADZANOWIE,2026,Radzanów,ul. Raciążska 53A,Radzanów,Raciążska 53A,ul
111101,"SZKOŁA PODSTAWOWA IM. VII OBWODU AK ""OBROŻA"" W BRZEZINACH",2026,Brzeziny,ul. Aleksandra Świętochowskiego 1,Brzeziny,Świętochowskiego 1,ul aleksandra
111105,SZKOŁA PODSTAWOWA IM. KORNELA MAKUSZYŃSKIEGO W HALINOWIE,2026,Halinów,ul. Okuniewska 115,Halinów,Okuniewska 115,ul
111180,SZKOŁA PODSTAWOWA IM.MARSZAŁKA JÓZEFA PIŁSUDSKIEGO W ZAMIENIU,2026,Zamienie,ul. Kołbielska 34,Zamienie,Kołbielska 34,ul
111186,SZKOŁA PODSTAWOWA IM. KAR. STEFANA WYSZYŃSKIEGO W STOJADŁACH,2026,Stojadła,ul. Południowa 20,Stojadła,Południowa 20,ul
111943,ZESPÓŁ PLACÓWEK OŚWIATOWYCH W SYPNIEWIE SZKOŁA PODSTAWOWA IM. WŁ.BRONIEWSKIEGO W SYPNIEWIE,2026,Sypniewo,ul. Władysława Broniewskiego 2A,Sypniewo,Broniewskiego 2A,ul władysława
111945,SZKOŁA PODSTAWOWA IM. WŁADYSŁAWA STANISŁAWA REYMONTA W GĄSEWIE PODUCHOWNYM,2026,Gąsewo Poduchowne,ul. Władysława Reymonta 12,Gąsewo Poduchowne,Reymonta 12,ul władysława
111978,PRYWATNA SZKOŁA PODSTAWOWA IM. JEANA MONNETA,2026,Warszawa,ul. Stępińska 13,Warszawa,Stępińska 13,ul
112011,SZKOŁA PODSTAWOWA IM.JANA BRZECHWY W OKUNIEWIE,2026,Okuniew,ul. Szkolna 4,Okuniew,Szkolna 4,ul
113848,PUBLICZNA SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W SOBIENIACH-JEZIORACH,2026,Sobienie-Jeziory,ul. Garwolińska 14,Sobienie-Jeziory,Garwolińska 14,ul
115466,SZKOŁA PODSTAWOWA NR 2 IM. PAPIEŻA JANA PAWŁA II,2026,Ostrów Mazowiecka,ul. gen. Stefana Grota-Roweckiego 6,Ostrów Mazowiecka,Grota-Roweckiego 6,ul gen stefana
118381,"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""PRAXIS""",2026,Łąki,ul. Weteranów 207,Łąki,Weteranów 207,ul
119011,PRYWATNA SZKOŁA PODSTAWOWA IM. RODZINY MORACZEWSKICH,2026,Sulejówek,ul. Aleja Piłsudskiego 81,Sulejówek,Aleja Piłsudskiego 81,ul
119791,PRYWATNA SZKOŁA PODSTAWOWA NR 62 IM. JOANNY KOLASIŃSKIEJ,2026,Warszawa,ul. Skrajna 10,Warszawa,Skrajna 10,ul
120723,"I JĘZYKOWA SZKOŁA PODSTAWOWA ""LANGUAGE"" W WYSZKOWIE",2026,Wyszków,ul. Komisji Edukacji Narodowej 2,Wyszków,Komisji Edukacji Narodowej 2,ul
121200,EDISON PRIMARY SCHOOL,2026,Warszawa,ul. Królewicza Jakuba 69,Warszawa,Jakuba 69,ul królewicza
121724,MIĘDZYNARODOWA SZKOŁA MONTESSORI W WARSZAWIE,2026,Warszawa,ul. Dzierzby 28,Warszawa,Dzierzby 28,ul
122140,SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W KASKACH,2026,Kaski,ul. Królewska 23,Kaski,Królewska 23,ul
122233,SZKOŁA PODSTAWOWA NR 224 DLA DOROSŁYCH,2026,Warszawa,ul. Mińska 1/5,Warszawa,Mińska 1/5,ul
122362,PRYWATNA SZKOŁA PODSTAWOWA ICO,2026,Wołomin,ul. Orwida 22,Wołomin,Orwida 22,ul
122566,"PRYWATNA SZKOŁA PODSTAWOWA ""WORLD SCHOOL""",2026,Piaseczno,ul. Pod Bateriami 60,Piaseczno,Pod Bateriami 60,ul
122579,SZKOŁA PODSTAWOWA NR 356 IM.RYSZARDA KACZOROWSKIEGO,2026,Warszawa,ul. Głębocka 66,Warszawa,Głębocka 66,ul
