rspo,school_name,year,kept_miejscowosc,kept_ulica_nr,declined_miejscowosc,declined_ulica_nr,dropped_words
130629,SZKOŁA PODSTAWOWA IM. WANDY RUTKIEWICZ W DUCHNICACH,2026,Duchnice,ul. Duchnicka 25,Duchnice,Duchnicka 25,ul
130849,SZKOŁA PODSTAWOWA NR 3 I. BOHATERÓW POWSTANIA WARSZAWSKIEGO Z ODDZIAŁAMI INTEGRACYJNYMI,2026,Piastów,ul. Aleja Tysiąclecia 5,Piastów,Aleja Tysiąclecia 5,ul
131791,SZKOŁA PODSTAWOWA PARTNER INTERNATIONAL PRIMARY SCHOOL Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. MARII MONTESSORI,2026,Radom,ul. Romualda Traugutta 34,Radom,Traugutta 34,ul romualda
132912,SALEZJAŃSKA SZKOŁA PODSTAWOWA,2026,Sokołów Podlaski,ul. Księdza Bosco 1,Sokołów Podlaski,Bosco 1,ul księdza
133211,SZKOŁA PODSTAWOWA NR 4 IM. OBROŃCÓW WESTERPLATTE W WYSZKOWIE,2026,Wyszków,ul. Generała Józefa Sowińskiego 55,Wyszków,Sowińskiego 55,ul generała józefa
133334,"SZKOŁA PODSTAWOWA NR 5 IM. ZBIGNIEWA GĘSICKIEGO ""JUNO""",2026,Piastów,ul. Kazimierza Pułaskiego 6/8,Piastów,Pułaskiego 6/8,ul kazimierza
133414,SZKOŁA PODSTAWOWA NR 2 Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. IRENY SZEWIŃSKIEJ W ŁOMIANKACH,2026,Łomianki,ul. Partyzantów 31,Łomianki,Partyzantów 31,ul
133420,SZKOŁA PODSTAWOWA IM. GENERAŁA MARIUSZA ZARUSKIEGO W ZIELONKACH- PARCELI,2026,Zielonki-Parcela,ul. Południowa 2,Zielonki-Parcela,Południowa 2,ul
133421,SZKOŁA PODSTAWOWA IM. PROFESOR JADWIGI KOBENDZY W KOCZARGACH STARYCH,2026,Koczargi Stare,ul. Akacjowa 12,Koczargi Stare,Akacjowa 12,ul
133455,SZKOŁA PODSTAWOWA NR 371 IM. SANDRO PERTINIEGO,2026,Warszawa,ul. Jana III Sobieskiego 68,Warszawa,Jana III Sobieskiego 68,ul
133457,SALEZJAŃSKA SZKOŁA PODSTAWOWA,2026,Legionowo,ul. Adama Mickiewicza 35A,Legionowo,Mickiewicza 35A,ul adama
133484,SZKOŁA PODSTAWOWA NR 395 IM. ROTMISTRZA WITOLDA PILECKIEGO,2026,Warszawa,ul. Józefa Sierakowskiego 9,Warszawa,Sierakowskiego 9,ul józefa
133567,"SZKOŁA PODSTAWOWA PRZY SPOŁECZNYM LICEUM OGÓLNOKSZTAŁCĄCYM NR 4 IM. BATALIONU AK ""PARASOL""",2026,Warszawa,ul. Hawajska 14a,Warszawa,Hawajska 14a,ul
133574,SZKOŁA PODSTAWOWA NR 382 IM. WARSZAWSKICH DZIECI,2026,Warszawa,ul. Konińska 2,Warszawa,Konińska 2,ul
133575,SZKOŁA PODSTAWOWA NR 381 IM. KRZYSZTOFA KAMILA BACZYŃSKIEGO,2026,Warszawa,ul. Michała Drzymały 1,Warszawa,Drzymały 1,ul michała
133576,SZKOŁA PODSTAWOWA NR 383 IM. KS. STEFANA KARDYNAŁA WYSZYŃSKIEGO,2026,Warszawa,ul. Warszawska 63,Warszawa,Warszawska 63,ul
133612,"SZKOŁA PODSTAWOWA NR 377 IM. MAJORA HENRYKA DOBRZAŃSKIEGO ""HUBALA"" W WARSZAWIE",2026,Warszawa,ul. Trocka 4,Warszawa,Trocka 4,ul
133613,SZKOŁA PODSTAWOWA NR 378 IM. IGNACEGO JANA PADEREWSKIEGO W WARSZAWIE,2026,Warszawa,ul. Bartnicza 8,Warszawa,Bartnicza 8,ul
133615,SZKOŁA PODSTAWOWA NR 380 IM. JANA PAWŁA II W WARSZAWIE,2026,Warszawa,ul. Krasiczyńska 4/6,Warszawa,Krasiczyńska 4/6,ul
133620,SZKOŁA PODSTAWOWA NR 387 IM. SZARYCH SZEREGÓW,2026,Warszawa,ul. Marcina Kasprzaka 1/3,Warszawa,Kasprzaka 1/3,ul marcina
133623,SZKOŁA PODSTAWOWA NR 386 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,2026,Warszawa,ul. Grenady 16,Warszawa,Grenady 16,ul
133625,SZKOŁA PODSTAWOWA NR 389 IM. STEFANA STARZYŃSKIEGO,2026,Warszawa,ul. Smocza 19,Warszawa,Smocza 19,ul
133627,SZKOŁA PODSTAWOWA DLA DOROSŁYCH NR 390,2026,Warszawa,ul. Księcia Janusza 45/47,Warszawa,Janusza 45/47,ul księcia
133678,SZKOŁA PODSTAWOWA NR 370,2026,Warszawa,ul. Lwa Tołstoja 2,Warszawa,Tołstoja 2,ul lwa
133692,SZKOŁA PODSTAWOWA NR 14 IM. PROF. WŁADYSŁAWA SZAFERA W PŁOCKU,2026,Płock,al. Al. Stanisława Jachowicza 20,Płock,Al. Stanisława Jachowicza 20,
133694,"SZKOŁA PODSTAWOWA NR 3 IM. MIRY ZIMIŃSKIEJ-SYGIETYŃSKIEJ, Z ODDZIAŁAMI PRZEDSZKOLNYMI I ODDZIAŁAMI INTEGRACYJNYMI",2026,Pruszków,al. Wojska Polskiego 34,Pruszków,Wojska Polskiego 34,al
133695,SZKOŁA PODSTAWOWA NR 2 IM. KSIĄŻĄT MAZOWIECKICH W PŁOCKU,2026,Płock,ul. Faustyna Piaska 5,Płock,Piaska 5,ul faustyna
133696,"SZKOŁA PODSTAWOWA NR 4 IM. JANA PAWŁA II, Z ODDZIAŁAMI PRZEDSZKOLNYMI I ODDZIAŁAMI SPORTOWYMI",2026,Pruszków,ul. Hubala 4,Pruszków,Hubala 4,ul
133697,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 8 IM. ALEKSANDRA MACIESZY W PŁOCKU,2026,Płock,ul. gen. Tadeusza Kutrzeby 2a,Płock,Kutrzeby 2a,ul gen tadeusza
133707,"SZKOŁA PODSTAWOWA NR 391 IM. MACIEJA ALEKSEGO DAWIDOWSKIEGO PS. ""ALEK""",2026,Warszawa,ul. Filarecka 2,Warszawa,Filarecka 2,ul
133910,SZKOŁA PODSTAWOWA NR 4 IM JANUSZA KORCZAKA,2026,Sulejówek,ul. Narutowicza 10,Sulejówek,Narutowicza 10,ul
134005,SZKOŁA PODSTAWOWA NR 362 IM. PROF. TADEUSZA KOTARBIŃSKIEGO,2026,Warszawa,ul. gen. Waleriana Czumy 8,Warszawa,Czumy 8,ul gen waleriana
134006,SZKOŁA PODSTAWOWA NR 363 IM. PROF. WITOLDA DOROSZEWSKIEGO,2026,Warszawa,ul. Rozłogi 10,Warszawa,Rozłogi 10,ul
134007,SZKOŁA PODSTAWOWA NR 364 IM. KONSTANCJI MARKIEWICZ,2026,Warszawa,ul. Michała Elwira Andriollego 1,Warszawa,Andriollego 1,ul michała elwira
196243,SZKOŁA PODSTAWOWA SPECJALNA W WIERZBICY,2026,Wierzbica,ul. Sienkiewicza 55,Wierzbica,Sienkiewicza 55,ul
196257,SZKOŁA PODSTAWOWA NR 394,2026,Warszawa,ul. Mahatmy Gandhiego 13,Warszawa,Gandhiego 13,ul mahatmy
196313,SZKOŁA PODSTAWOWA NR 6 Z ODDZIAŁAMI INTEGRACYJNYMI IM. KRÓLA WŁADYSŁAWA JAGIEŁŁY W SOCHACZEWIE,2026,Sochaczew,ul. Stanisława Staszica 106,Sochaczew,Staszica 106,ul stanisława
196395,PUBLICZNA SZKOŁA PODSTAWOWA NR 2 IM. PAPIEŻA JANA PAWŁA II W CHORZELACH,2026,Chorzele,ul. Szkolna 4b,Chorzele,Szkolna 4b,ul
196413,SZKOŁA PODSTAWOWA NR 3 IM. HUGONA KOŁŁĄTAJA W BŁONIU,2026,Błonie,ul. Okrzei 3,Błonie,Okrzei 3,ul
196445,"SZKOŁA PODSTAWOWA NR 7 IM. BATALIONU ""ZOŚKA"" Z ODDZIAŁAMI INTEGRACYJNYMI",2026,Otwock,ul. Majowa 267,Otwock,Majowa 267,ul
196450,SZKOŁA PODSTAWOWA NR 2 IM. IRENY SENDLEROWEJ,2026,Otwock,ul. Józefa Poniatowskiego 47/49,Otwock,Poniatowskiego 47/49,ul józefa
196452,SZKOŁA PODSTAWOWA NR 4 IM. JÓZEFA PIŁSUDSKIEGO,2026,Otwock,ul. Szkolna 31,Otwock,Szkolna 31,ul
262225,SZKOŁA PODSTAWOWA NR 4 IM. ŚW. MAKSYMILIANA MARII KOLBEGO W BŁONIU,2026,Błonie,ul. Narutowicza 4,Błonie,Narutowicza 4,ul
262232,SZKOŁA PODSTAWOWA NR 397 IM. BOHATERÓW OLSZYNKI GROCHOWSKIEJ,2026,Warszawa,ul. Afrykańska 11,Warszawa,Afrykańska 11,ul
262234,SZKOŁA PODSTAWOWA NR 375 IM. ORLĄT LWOWSKICH,2026,Warszawa,ul. gen. Romana Abrahama 10,Warszawa,Abrahama 10,ul gen romana
262236,SZKOŁA PODSTAWOWA NR 374 IM. GEN. PIOTRA SZEMBEKA,2026,Warszawa,ul. Boremlowska 6/12,Warszawa,Boremlowska 6/12,ul
262245,SZKOŁA PODSTAWOWA NR 2 IM.ORŁA BIAŁEGO W CHOTOMOWIE,2026,Chotomów,ul. Partyzantów 23,Chotomów,Partyzantów 23,ul
262274,SZKOŁA PODSTAWOWA SPECJALNA IM. ŚW. MAŁGORZATY Z KORTONY,2026,Piaseczno,ul. Zgoda 14,Piaseczno,Zgoda 14,ul
262307,PUBLICZNA SZKOŁA PODSTAWOWA NR 10 Z ODDZIAŁAMI INTEGRACYJNYMI IM.LOTNIKÓW POLSKICH W RADOMIU,2026,Radom,ul. Długojowska 6,Radom,Długojowska 6,ul
262309,PUBLICZNA SZKOŁA PODSTAWOWA NR 22 Z ODDZIAŁAMI INTEGRACYJNYMI IM. MIKOŁAJA REJA W RADOMIU,2026,Radom,ul. Krucza 2,Radom,Krucza 2,ul
262310,PUBLICZNA SZKOŁA PODSTAWOWA NR 27 IM. SZARYCH SZEREGÓW W RADOMIU,2026,Radom,ul. Sadkowska 16,Radom,Sadkowska 16,ul
262336,"SZKOŁA PODSTAWOWA SPECJALNA IM. ALBERTA EINSTEINA W MŁODZIEŻOWYM OŚRODKU SOCJOTERAPII ""PAŁACYK"" W RADOMIU",2026,Radom,ul. Krychnowicka 1,Radom,Krychnowicka 1,ul
262353,SZKOŁA PODSTAWOWA NR 1,2026,Góra Kalwaria,ul. Księdza Zygmunta Sajny 16,Góra Kalwaria,Sajny 16,ul księdza zygmunta
262429,SZKOŁA PODSTAWOWA NR 376 IM. BOHATERÓW WESTRPLATTE W WARSZAWIE,2026,Warszawa,"ul. gen. Karola Ziemskiego ""Wachnowskiego"" 22",Warszawa,"Ziemskiego ""Wachnowskiego"" 22",ul gen karola
262437,SZKOŁA PODSTAWOWA NR 2 IM. JANUSZA KORCZAKA W ŁOCHOWIE,2026,Łochów,ul. Stanisława Wyspiańskiego 20,Łochów,Wyspiańskiego 20,ul stanisława
262464,SZKOŁA PODSTAWOWA NR 3 IM. ŁĄCZNICZEK ARMII KRAJOWEJ W JÓZEFOWIE,2026,Józefów,ul. Leśna 39,Józefów,Leśna 39,ul
262502,SZKOŁA PODSTAWOWA NR 3 IM. TADEUSZA KOŚCIUSZKI,2026,Przasnysz,ul. Orlika 48,Przasnysz,Orlika 48,ul
262608,PUBLICZNA SZKOŁA PODSTAWOWA NR 1 Z ODDZIAŁAMI DWUJĘZYCZNYMI,2026,Mogielnica,ul. Nowomiejska 1,Mogielnica,Nowomiejska 1,ul
262628,SZKOŁA PODSTAWOWA NR 1 IM. JANA PAWŁA II W SOCHACZEWIE,2026,Sochaczew,ul. Prezydenta Ryszarda Kaczorowskiego 7,Sochaczew,Kaczorowskiego 7,ul prezydenta ryszarda
262659,SZKOŁA PODSTAWOWA NR 2 IM. JANA PAWŁA II,2026,Wieliszew,ul. Janusza Kusocińskiego 1,Wieliszew,Kusocińskiego 1,ul janusza
262736,SZKOŁA PODSTAWOWA NR 1 IM. JANA DOBROGOSTA KRASIŃSKIEGO W WĘGROWIE,2026,Węgrów,ul. Karola Szamoty 35,Węgrów,Szamoty 35,ul karola
262873,SZKOŁA PODSTAWOWA IM. BOHATERÓW BITWY WARSZAWSKIEJ 1920 R. W STANISŁAWOWIE PIERWSZYM,2026,Stanisławów Pierwszy,ul. Jana Kazimierza 291,Stanisławów Pierwszy,Jana Kazimierza 291,ul
262913,SPOŁECZNA SZKOŁA PODSTAWOWA MILANOWSKIEGO TOWARZYSTWA EDUKACYJNEGO,2026,Milanówek,ul. Brzozowa 1a,Milanówek,Brzozowa 1a,ul
262923,SZKOŁA PODSTAWOWA NR 4 IM. STEFANA KARDYNAŁA WYSZYŃSKIEGO,2026,Zielonka,ul. Waleriana Łukasińskiego 1/3,Zielonka,Łukasińskiego 1/3,ul waleriana
262929,SZKOŁA PODSTAWOWA NR 3 IM. DRA JÓZEFA OSTASZEWSKIEGO W MŁAWIE,2026,Mława,ul. Henryka Pogorzelskiego 4,Mława,Pogorzelskiego 4,ul henryka
262935,SZKOŁA PODSTAWOWA ŚW. TOMASZA Z AKWINU,2026,Józefów,ul. Piotra Skargi 13,Józefów,Skargi 13,ul piotra
262959,NIEPUBLICZNA SZKOŁA PODSTAWOWA PROEDUCADO,2026,Wołomin,ul. Oleńki 9,Wołomin,Oleńki 9,ul
263047,SZKOŁA PODSTAWOWA NR 365 IM.WOJCIECHA ZAWADZKIEGO,2026,Warszawa,ul. Płużnicka 4,Warszawa,Płużnicka 4,ul
263050,SZKOŁA PODSTAWOWA NR 367 IM. POLSKICH NOBLISTÓW,2026,Warszawa,ul. Przytulna 3,Warszawa,Przytulna 3,ul
263055,SZKOŁA PODSTAWOWA NR 5 IM. KSIĘCIA MAZOWIECKIEGO SIEMOWITA IV,2026,Gostynin,ul. Polna 36,Gostynin,Polna 36,ul
263088,SZKOŁA PODSTAWOWA NR 1 IM. KOMISJI EDUKACJI NARODOWEJ W SIEDLCACH,2026,Siedlce,ul. Stanisława Konarskiego 5,Siedlce,Konarskiego 5,ul stanisława
263091,SZKOŁA PODSTAWOWA NR 2 IM.GABRIELA NARUTOWICZA W SIEDLCACH,2026,Siedlce,ul. Szkolna 2,Siedlce,Szkolna 2,ul
263094,SZKOŁA PODSTAWOWA NR 3 Z ODDZIAŁAMI INTEGRACYJNYMI IM. TADEUSZA KOŚCIUSZKI W SIEDLCACH,2026,Siedlce,ul. Sekulska 10,Siedlce,Sekulska 10,ul
263096,SZKOŁA PODSTAWOWA NR 8 IM. STEFANA KARDYNAŁA WYSZYŃSKIEGO W SIEDLCACH,2026,Siedlce,ul. Pescantina 2,Siedlce,Pescantina 2,ul
263110,NIEPUBLICZNA OŚMIOLETNIA SZKOŁA PODSTAWOWA Z ODDZIAŁAMI PRZYSPOSABIAJĄCYMI DO PRACY W SIEDLCACH,2026,Siedlce,ul. Szkolna 33,Siedlce,Szkolna 33,ul
263134,SZKOŁA PODSTAWOWA NR 5 IM. LEONIDA TELIGI,2026,Grodzisk Mazowiecki,ul. L. Zondka 6,Grodzisk Mazowiecki,Zondka 6,ul l
263147,NIEPUBLICZNA SZKOŁA PODSTAWOWA W ADAMOWIŹNIE,2026,Adamowizna,ul. Osowiecka 98D,Adamowizna,Osowiecka 98D,ul
263233,PUBLICZNA SZKOŁA PODSTAWOWA IM. KAROLA WOJTYŁY W NOWYM MIEŚCIE NAD PILICĄ,2026,Nowe Miasto nad Pilicą,ul. Ogrodowa 16,Nowe Miasto nad Pilicą,Ogrodowa 16,ul
263246,SZKOŁA PODSTAWOWA SPECJALNA PRZY MŁODZIEŻOWYM OŚRODKU SOCJOTERAPII W SOLCU NAD WISŁĄ,2026,Solec nad Wisłą,ul. Wczasowa 44,Solec nad Wisłą,Wczasowa 44,ul
263411,SZKOŁA PODSTAWOWA NR 3 Z ODDZIAŁAMI DWUJĘZYCZNYMI I SPORTOWYMI IM. JANUSZA KUSOCIŃSKIEGO W ŁOMIANKACH,2026,Łomianki,ul. Stanisława Staszica 2,Łomianki,Staszica 2,ul stanisława
263733,NIEPUBLICZNA SZKOŁA PODSTAWOWA AURUS,2026,Warszawa,ul. Poleczki 7,Warszawa,Poleczki 7,ul
264241,PRYWATNA SZKOŁA PODSTAWOWA NR 41 EDU BENE,2026,Warszawa,ul. Świętojerska 24,Warszawa,Świętojerska 24,ul
264325,NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 1 IM. KRZYSZTOFA KOLUMBA W ŻYRARDOWIE,2026,Żyrardów,ul. Adama Mickiewicza 126/128,Żyrardów,Mickiewicza 126/128,ul adama
264398,SZKOŁA PODSTAWOWA IM. SAMUELA BOGUMIŁA LINDEGO,2026,Warszawa,ul. Jana Rosoła 10,Warszawa,Rosoła 10,ul jana
267059,SZKOŁA PODSTAWOWA NR 5 IM I. J. PADEREWSKIEGO,2026,Pruszków,ul. Jana Długosza 53,Pruszków,Długosza 53,ul jana
267728,SZKOŁA PODSTAWOWA NR 360 IM. POLSKICH NOBLISTEK,2026,Warszawa,ul. Dzieci Warszawy 42A,Warszawa,Dzieci Warszawy 42A,ul
267771,SZKOŁA PODSTAWOWA IM. A. EINSTEINA,2026,Warszawa,ul. Prymasa Augusta Hlonda 20,Warszawa,Hlonda 20,ul prymasa augusta
268561,PRYWATNA SZKOŁA PODSTAWOWA IM. ZOFII I JĘDRZEJA MORACZEWSKICH,2026,Warszawa,ul. Cyrulików 87,Warszawa,Cyrulików 87,ul
272362,MIĘDZYNARODOWA SZKOŁA PODSTAWOWA TE VIZJA,2026,Warszawa,ul. Okopowa 59,Warszawa,Okopowa 59,ul
274372,"SZKOŁA PODSTAWOWA NR 400 IM. MARII SKŁODOWSKIEJ-CURIE W WARSZAWIE, UL. OŚ KRÓLEWSKA 25",2026,Warszawa,ul. Oś Królewska 25,Warszawa,Oś Królewska 25,ul
274375,SZKOŁA PODSTAWOWA NR 361 IM. PAPCIA CHMIELA,2026,Warszawa,ul. Ruskowy Bród 19,Warszawa,Ruskowy Bród 19,ul
274902,SZKOŁA PODSTAWOWA NR 4 IM. ŚW. JANA PAWŁA II,2026,Ząbki,ul. Harcerska 9,Ząbki,Harcerska 9,ul
275007,KATOLICKA SZKOŁA PODSTAWOWA IM. BŁ. ABPA ANTONIEGO JULIANA NOWOWIEJSKIEGO I BŁ. BPA LEONA WETMAŃSKIEGO W PŁOCKU,2026,Płock,ul. abp. Antoniego Juliana Nowowiejskiego 2A,Płock,Nowowiejskiego 2A,ul abp antoniego juliana
275580,NIEPUBLICZNA SZKOŁA PODSTAWOWA Z ODDZIAŁAMI DWUJĘZYCZNYMI H2H,2026,Warszawa,ul. Ryżowa 33b,Warszawa,Ryżowa 33b,ul
277418,SZKOŁA PODSTAWOWA W ZAMIENIU,2026,Zamienie,ul. Waniliowa 7,Zamienie,Waniliowa 7,ul
277567,SZKOŁA PODSTAWOWA NR 402 IM. HALINY KONOPACKIEJ,2026,Warszawa,ul. Jana Nowaka-Jeziorańskiego 22,Warszawa,Nowaka-Jeziorańskiego 22,ul jana
277719,SZKOŁA PODSTAWOWA NR 6 IM. MAŁGORZATY DYDEK W ZĄBKACH,2026,Ząbki,ul. Dzika 36,Ząbki,Dzika 36,ul
277797,SZKOŁA PODSTAWOWA NR 396,2026,Warszawa,ul. Anny German 5A,Warszawa,German 5A,ul anny
478003,PUBLICZNA SZKOŁA PODSTAWOWA ZIARNO,2026,Warszawa,ul. Modlińska 184a,Warszawa,Modlińska 184a,ul
478636,NIEPUBLICZNA SZKOŁA PODSTAWOWA EDUSPEKTRUM,2026,Legionowo,ul. Gabriela Narutowicza 96,Legionowo,Narutowicza 96,ul gabriela
482101,SZKOŁA PODSTAWOWA NR 408,2026,Warszawa,ul. Arkuszowa 202,Warszawa,Arkuszowa 202,ul
482290,NIEPUBLICZNA SZKOŁA PODSTAWOWA SZKOŁA BEZ GRANIC SŁUPNO,2026,Słupno,ul. Szkolna 3,Słupno,Szkolna 3,ul
